downsampling_rate,frame_lenght_in_s,dbFSthresh,duration_time,accuracy,latency
16000.0,0.002,-90.0,0.1,0.7155555555555555,8.743934631347656
16000.0,0.002,-90.0,0.15,0.5888888888888889,8.808057308197021
16000.0,0.002,-90.0,0.2,0.45666666666666667,8.801428741878933
16000.0,0.002,-90.0,0.05,0.81,9.179906845092773
16000.0,0.002,-90.0,0.01,0.8988888888888888,10.712323983510334
16000.0,0.002,-90.0,0.005,0.9111111111111111,9.521615240308973
16000.0,0.002,-80.0,0.1,0.5355555555555556,9.077583418952093
16000.0,0.002,-80.0,0.15,0.4177777777777778,8.761853906843397
16000.0,0.002,-80.0,0.2,0.3322222222222222,8.739076190524631
16000.0,0.002,-80.0,0.05,0.6888888888888889,8.70758957333035
16000.0,0.002,-80.0,0.01,0.8222222222222222,8.686189386579725
16000.0,0.002,-80.0,0.005,0.8477777777777777,8.719374073876276
16000.0,0.04,-130.0,0.1,0.9866666666666667,12.131196922726101
16000.0,0.04,-130.0,0.15,0.9877777777777778,13.57410642835829
16000.0,0.04,-130.0,0.2,0.9811111111111112,11.82218525144789
16000.0,0.04,-130.0,0.05,0.9833333333333333,11.846193737453884
16000.0,0.04,-130.0,0.01,0.8888888888888888,11.55685265858968
16000.0,0.04,-130.0,0.005,0.8888888888888888,11.312910450829401
16000.0,0.04,-120.0,0.1,0.9833333333333333,11.42311069700453
16000.0,0.04,-120.0,0.15,0.98,11.240847375657822
16000.0,0.04,-120.0,0.2,0.9622222222222222,11.373003588782417
16000.0,0.04,-120.0,0.05,0.9811111111111112,11.320130825042725
16000.0,0.04,-120.0,0.01,0.8888888888888888,11.334902180565727
16000.0,0.04,-120.0,0.005,0.8888888888888888,11.259686946868896
16000.0,0.04,-110.0,0.1,0.9766666666666667,11.25860399670071
16000.0,0.04,-110.0,0.15,0.9711111111111111,11.332023938496906
16000.0,0.04,-110.0,0.2,0.9377777777777778,11.204225752088758
16000.0,0.04,-110.0,0.05,0.98,11.326875421735975
16000.0,0.04,-110.0,0.01,0.8888888888888888,12.1213075849745
16000.0,0.04,-110.0,0.005,0.8888888888888888,11.651640733083088
16000.0,0.04,-100.0,0.1,0.9577777777777777,11.27764834298028
16000.0,0.04,-100.0,0.15,0.9466666666666667,11.308744218614367
16000.0,0.04,-100.0,0.2,0.9,11.844722694820828
16000.0,0.04,-100.0,0.05,0.9666666666666667,11.372909545898438
16000.0,0.04,-100.0,0.01,0.8888888888888888,11.328641838497585
16000.0,0.04,-100.0,0.005,0.8888888888888888,11.323615974850124
16000.0,0.04,-90.0,0.1,0.9322222222222222,11.336910724639893
16000.0,0.04,-90.0,0.15,0.91,11.248696115281847
16000.0,0.04,-90.0,0.2,0.8188888888888889,11.241685549418133
16000.0,0.04,-90.0,0.05,0.9455555555555556,11.291148132748074
16000.0,0.04,-90.0,0.01,0.8888888888888888,11.316785547468399
16000.0,0.04,-90.0,0.005,0.8888888888888888,11.382514900631374
16000.0,0.04,-80.0,0.1,0.8755555555555555,11.328294807010227
16000.0,0.04,-80.0,0.15,0.8388888888888889,11.362090110778809
16000.0,0.04,-80.0,0.2,0.7033333333333334,11.249535613589815
16000.0,0.04,-80.0,0.05,0.9011111111111111,11.343081527286104
16000.0,0.04,-80.0,0.01,0.8888888888888888,11.288281016879612
16000.0,0.04,-80.0,0.005,0.8888888888888888,11.304079161749945
